name,score,Energy,Fat,Saturated Fat,Unsaturated Fat,Carbohydrates,Suger,Fiber,Protein,Salt,Calcium,Vitamin B2,Vitamin C,Omega3,Alpha-Linolenic Acid,Eicosapentaenoic Acid,Docosahexaenoic Acid,Vitamin B6,Vitamin D
AH Scharrel kipkluifjes gemarineerd,C,220.0,16.0,5.6,10.0,0.7,0.2,2.6,17.0,1.35,,,,,,,,,
AH Biologisch Gerookte zalm,D,200.0,12.0,3.0,9.0,0.0,0.0,0.0,23.0,3.0,,,,,,,,,
AH Hamblokjes,D,149.0,9.0,3.5,5.4,2.0,0.2,0.0,15.0,2.5,,,,,,,,,
AH Scharrel kipfilet 3 stuks,A,114.0,1.2,0.5,0.7,0.0,0.0,1.6,25.0,0.1,,,,,,,,,
AH Kipreepjes,D,103.0,2.5,0.8,1.7,3.2,0.2,0.0,17.0,2.53,,,,,,,,,
AH Hamreepjes,D,149.0,9.0,3.5,5.4,2.0,0.2,0.0,15.0,2.5,,,,,,,,,
Iglo Vissticks,B,216.0,9.1,0.7,,21.0,1.1,0.9,12.0,0.84,,,,,,,,,
AH Boomstammetjes,D,292.0,21.0,8.4,11.0,8.6,0.3,0.3,17.0,1.43,,,,,,,,,
AH Varkenshaas,A,103.0,1.7,0.8,0.8,0.0,0.0,0.0,22.0,0.23,,,,,,,,,
AH Gelderse rookworst,E,291.0,25.0,9.5,15.0,0.5,0.5,0.0,16.0,2.2,,,,,,,,,
AH Rundergehakt,C,228.0,16.0,7.1,6.9,0.9,0.0,0.0,20.0,0.2,,,,,,,,,
AH Pannenkoekspek,E,289.0,25.0,13.0,12.0,1.0,0.5,0.0,15.0,2.08,,,,,,,,,
AH Biologisch Half-om-half gehakt,C,225.0,16.0,6.4,7.7,0.3,0.0,0.0,20.0,0.33,,,,,,,,,
AH Scharrel kippenpoten 2 stuks,B,180.0,12.0,3.9,8.2,0.0,0.0,0.0,18.0,0.25,,,,,,,,,
AH Gerookte zalm 25 % minder zout,C,179.0,11.0,1.5,8.7,0.0,0.0,0.0,20.0,1.7,,,,,,,,,
AH Schouderkarbonade,B,184.0,12.0,4.7,6.4,0.0,0.0,0.0,19.0,0.15,,,,,,,,,
AH Runderbraadworst,D,263.0,20.0,8.7,8.6,1.6,0.06,0.09,19.0,1.28,,,,,,,,,
AH Scharrel kip cordon bleu 4 stuks,B,209.0,11.0,2.9,8.3,14.0,0.7,1.1,13.0,1.13,,,,,,,,,
AH Nasi bamivlees,A,120.0,3.1,1.2,1.6,0.0,0.0,0.0,23.0,0.13,,,,,,,,,
AH Biologisch Rundertartaar,A,125.0,4.9,2.2,2.1,0.3,0.0,0.0,20.0,0.33,,,,,,,,,
